caption_sentence,cleaned_tokens
And close your<00:00:52.960><c> eyes.</c><00:00:53.520><c> Little</c><00:00:53.760><c> zen</c><00:00:54.160><c> mode.</c><00:00:54.640><c> Okay.</c><00:00:55.120><c> I</c><00:00:55.360><c> see</c> your eyes.,"['close', 'eye', 'little', 'zen', 'mode', 'okay', 'see', 'eye']"
Little zen mode.,"['little', 'zen', 'mode']"
Okay.,['okay']
I see your eyes.,"['see', 'eye']"
Little zen mode.,"['little', 'zen', 'mode']"
Okay.,['okay']
"I see the<00:00:55.680><c> people</c><00:00:55.840><c> with</c><00:00:56.000><c> trust</c><00:00:56.320><c> issues,</c><00:00:56.640><c> eyes</c><00:00:56.960><c> wide</c> the people with trust issues, eyes wide the people with trust issues, eyes wide open,<00:00:57.440><c> holding</c><00:00:57.680><c> their</c><00:00:57.920><c> wallets</c><00:00:58.239><c> and</c><00:00:58.399><c> phones.</c> open, holding their wallets and phones.","['see', 'people', 'trust', 'issue', 'eye', 'wide', 'people', 'trust', 'issue', 'eye', 'wide', 'people', 'trust', 'issue', 'eye', 'wide', 'open', 'holding', 'wallet', 'phone', 'open', 'holding', 'wallet', 'phone']"
"open, holding their wallets and phones.","['open', 'holding', 'wallet', 'phone']"
"Fellow<00:01:00.239><c> New</c><00:01:00.480><c> Yorkers,</c> Fellow New Yorkers, Fellow New Yorkers, here<00:01:03.359><c> is</c><00:01:03.520><c> my</c><00:01:03.760><c> question.</c><00:01:04.239><c> If</c><00:01:04.479><c> you</c><00:01:04.640><c> could</c><00:01:04.799><c> have</c> here is my question.","['fellow', 'new', 'yorkers', 'fellow', 'new', 'yorkers', 'fellow', 'new', 'yorkers', 'question', 'could', 'question']"
If you could have here is my question.,"['could', 'question']"
"If you could have dinner,<00:01:05.680><c> hypothetical,</c><00:01:06.880><c> with</c><00:01:07.119><c> someone</c> dinner, hypothetical, with someone dinner, hypothetical, with someone famous,<00:01:08.320><c> right?</c><00:01:08.640><c> Some</c><00:01:08.720><c> of</c><00:01:08.799><c> you</c><00:01:08.960><c> have</c><00:01:09.040><c> heard</c> famous, right?","['could', 'dinner', 'hypothetical', 'someone', 'dinner', 'hypothetical', 'someone', 'dinner', 'hypothetical', 'someone', 'famous', 'right', 'heard', 'famous', 'right']"
"Some of you have heard famous, right?","['heard', 'famous', 'right']"
Some of you have heard this<00:01:09.439><c> question</c><00:01:09.600><c> already.</c><00:01:09.920><c> I</c><00:01:10.080><c> didn't</c><00:01:10.240><c> invent</c> this question already.,"['heard', 'question', 'already', 'didnt', 'invent', 'question', 'already']"
I didn't invent this question already.,"['didnt', 'invent', 'question', 'already']"
I didn't invent it.<00:01:10.640><c> I</c><00:01:10.880><c> love</c><00:01:11.119><c> asking</c><00:01:11.439><c> people.</c><00:01:11.920><c> Someone</c> it.,"['didnt', 'invent', 'love', 'asking', 'people', 'someone']"
I love asking people.,"['love', 'asking', 'people']"
Someone it.,['someone']
I love asking people.,"['love', 'asking', 'people']"
"Someone famous,<00:01:12.640><c> dead</c><00:01:12.880><c> or</c><00:01:13.119><c> alive,</c><00:01:13.600><c> past</c><00:01:13.840><c> or</c><00:01:14.159><c> present,</c> famous, dead or alive, past or present, famous, dead or alive, past or present, man,<00:01:14.799><c> woman,</c><00:01:15.119><c> whatever.</c><00:01:15.840><c> I</c><00:01:16.080><c> like</c><00:01:16.159><c> to</c><00:01:16.320><c> ask</c> man, woman, whatever.","['someone', 'famous', 'dead', 'alive', 'past', 'present', 'famous', 'dead', 'alive', 'past', 'present', 'famous', 'dead', 'alive', 'past', 'present', 'man', 'woman', 'whatever', 'like', 'ask', 'man', 'woman', 'whatever']"
"I like to ask man, woman, whatever.","['like', 'ask', 'man', 'woman', 'whatever']"
"I like to ask people,<00:01:16.720><c> who</c><00:01:16.880><c> would</c><00:01:17.040><c> that</c><00:01:17.280><c> person</c><00:01:17.520><c> be</c><00:01:17.680><c> for</c> people, who would that person be for people, who would that person be for you?<00:01:18.000><c> It's</c><00:01:18.159><c> fascinating.</c><00:01:18.640><c> Everyone's</c> you?","['like', 'ask', 'people', 'would', 'person', 'people', 'would', 'person', 'people', 'would', 'person', 'fascinating', 'everyones']"
It's fascinating.,['fascinating']
Everyone's you?,['everyones']
It's fascinating.,['fascinating']
Everyone's different.<00:01:20.320><c> And</c><00:01:20.560><c> if</c><00:01:20.720><c> you've</c><00:01:20.960><c> already</c><00:01:21.200><c> done</c> different.,"['everyones', 'different', 'youve', 'already', 'done', 'different']"
And if you've already done different.,"['youve', 'already', 'done', 'different']"
"And if you've already done it,<00:01:21.759><c> open</c><00:01:22.000><c> your</c><00:01:22.159><c> eyes.</c><00:01:22.400><c> Some</c><00:01:22.479><c> of</c><00:01:22.560><c> you</c><00:01:22.720><c> have</c> it, open your eyes.","['youve', 'already', 'done', 'open', 'eye', 'open', 'eye']"
"Some of you have it, open your eyes.","['open', 'eye']"
Some of you have done<00:01:22.880><c> it.</c><00:01:23.040><c> Some</c><00:01:23.119><c> of</c><00:01:23.200><c> you</c><00:01:23.280><c> are</c><00:01:23.439><c> quick.</c><00:01:23.600><c> I</c><00:01:23.759><c> see</c> done it.,"['done', 'quick', 'see', 'done']"
Some of you are quick.,['quick']
I see done it.,"['see', 'done']"
Some of you are quick.,['quick']
I see nods.<00:01:24.240><c> I</c><00:01:24.400><c> see</c><00:01:24.560><c> people</c><00:01:24.720><c> that</c><00:01:24.799><c> are</c><00:01:24.960><c> decisive.</c><00:01:25.439><c> If</c> nods.,"['see', 'nod', 'see', 'people', 'decisive', 'nod']"
I see people that are decisive.,"['see', 'people', 'decisive']"
If nods.,['nod']
I see people that are decisive.,"['see', 'people', 'decisive']"
"If you<00:01:25.680><c> haven't,</c><00:01:26.320><c> you</c><00:01:26.560><c> always</c><00:01:26.720><c> need</c><00:01:26.880><c> a</c><00:01:27.040><c> deadline</c> you haven't, you always need a deadline you haven't, you always need a deadline for<00:01:27.520><c> creativity.</c><00:01:28.400><c> 3</c><00:01:28.960><c> 2</c><00:01:29.439><c> 1</c><00:01:29.920><c> crunch</c><00:01:30.240><c> time.</c><00:01:30.640><c> Open</c> for creativity.","['havent', 'always', 'need', 'deadline', 'havent', 'always', 'need', 'deadline', 'havent', 'always', 'need', 'deadline', 'creativity', 'crunch', 'time', 'open', 'creativity']"
3 2 1 crunch time.,"['crunch', 'time']"
Open for creativity.,"['open', 'creativity']"
3 2 1 crunch time.,"['crunch', 'time']"
"Open your<00:01:31.040><c> eyes.</c><00:01:31.920><c> Everyone</c><00:01:32.320><c> out</c><00:01:32.479><c> there,</c><00:01:32.720><c> give</c><00:01:32.880><c> me</c><00:01:32.960><c> a</c> your eyes.","['open', 'eye', 'everyone', 'give', 'eye']"
"Everyone out there, give me a your eyes.","['everyone', 'give', 'eye']"
"Everyone out there, give me a big<00:01:33.280><c> clap</c><00:01:33.520><c> over</c><00:01:33.759><c> your</c><00:01:33.840><c> head</c><00:01:34.000><c> if</c><00:01:34.159><c> you</c><00:01:34.240><c> can</c><00:01:34.400><c> see</c> big clap over your head if you can see big clap over your head if you can see your<00:01:34.640><c> person</c><00:01:34.880><c> in</c><00:01:35.040><c> your</c><00:01:35.119><c> mind's</c><00:01:35.360><c> eye.</c><00:01:35.600><c> Give</c><00:01:35.680><c> me</c> your person in your mind's eye.","['everyone', 'give', 'big', 'clap', 'head', 'see', 'big', 'clap', 'head', 'see', 'big', 'clap', 'head', 'see', 'person', 'mind', 'eye', 'give', 'person', 'mind', 'eye']"
Give me your person in your mind's eye.,"['give', 'person', 'mind', 'eye']"
Give me a<00:01:35.920><c> big</c><00:01:36.079><c> clap.</c> a big clap.,"['give', 'big', 'clap', 'big', 'clap']"
a big clap.,"['big', 'clap']"
One<00:01:39.119><c> more</c><00:01:39.360><c> big</c><00:01:39.520><c> clap.</c> One more big clap.,"['one', 'big', 'clap', 'one', 'big', 'clap']"
One more big clap.,"['one', 'big', 'clap']"
Notice<00:01:41.520><c> the</c><00:01:41.759><c> technique.</c><00:01:42.560><c> Elbows</c><00:01:43.119><c> locked</c><00:01:43.439><c> on</c> Notice the technique.,"['notice', 'technique', 'elbow', 'locked', 'notice', 'technique']"
Elbows locked on Notice the technique.,"['elbow', 'locked', 'notice', 'technique']"
Elbows locked on this<00:01:43.840><c> man.</c><00:01:44.400><c> Michael</c><00:01:44.720><c> Phelps</c><00:01:45.119><c> would</c><00:01:45.200><c> have</c><00:01:45.280><c> been</c> this man.,"['elbow', 'locked', 'man', 'michael', 'phelps', 'would', 'man']"
Michael Phelps would have been this man.,"['michael', 'phelps', 'would', 'man']"
"Michael Phelps would have been jealous<00:01:45.680><c> of</c><00:01:45.840><c> that</c><00:01:46.000><c> streamline.</c><00:01:46.880><c> Stand</c><00:01:47.119><c> up,</c> jealous of that streamline.","['michael', 'phelps', 'would', 'jealous', 'streamline', 'stand', 'jealous', 'streamline']"
"Stand up, jealous of that streamline.","['stand', 'jealous', 'streamline']"
"Stand up, please.<00:01:47.680><c> Stand</c><00:01:47.840><c> up,</c><00:01:48.079><c> please.</c><00:01:48.720><c> Introduce</c> please.","['stand', 'please', 'stand', 'please', 'introduce', 'please']"
"Stand up, please.","['stand', 'please']"
Introduce please.,"['introduce', 'please']"
"Stand up, please.","['stand', 'please']"
Introduce yourself.,['introduce']
yourself.,[]
yourself.,[]
"&gt;&gt; Uh,<00:01:51.040><c> sorry.</c><00:01:51.280><c> I'm</c><00:01:51.520><c> Ian.</c><00:01:52.240><c> Ian,</c><00:01:52.960><c> question</c><00:01:53.360><c> for</c> &gt;&gt; Uh, sorry.","['gtgt', 'sorry', 'ian', 'ian', 'question', 'gtgt', 'sorry']"
I'm Ian.,['ian']
"Ian, question for &gt;&gt; Uh, sorry.","['ian', 'question', 'gtgt', 'sorry']"
I'm Ian.,['ian']
"Ian, question for you.<00:01:54.159><c> Before</c><00:01:54.479><c> you</c><00:01:54.720><c> walked</c><00:01:54.960><c> in</c><00:01:55.119><c> this</c><00:01:55.360><c> room</c><00:01:55.840><c> and</c> you.","['ian', 'question', 'walked', 'room']"
Before you walked in this room and you.,"['walked', 'room']"
"Before you walked in this room and sat<00:01:56.479><c> down,</c><00:01:56.799><c> did</c><00:01:56.960><c> you</c><00:01:57.119><c> have</c><00:01:57.200><c> any</c><00:01:57.360><c> idea</c><00:01:57.600><c> who</c><00:01:57.759><c> I</c> sat down, did you have any idea who I sat down, did you have any idea who I was<00:01:58.000><c> or</c><00:01:58.240><c> what</c><00:01:58.399><c> I</c><00:01:58.560><c> was</c><00:01:58.640><c> going</c><00:01:58.719><c> to</c><00:01:58.799><c> do?</c> was or what I was going to do?","['walked', 'room', 'sat', 'idea', 'sat', 'idea', 'sat', 'idea', 'going', 'going']"
was or what I was going to do?,['going']
"&gt;&gt; No,<00:02:00.320><c> actually,</c><00:02:00.640><c> sorry.</c> &gt;&gt; No, actually, sorry.","['gtgt', 'actually', 'sorry', 'gtgt', 'actually', 'sorry']"
"&gt;&gt; No, actually, sorry.","['gtgt', 'actually', 'sorry']"
"&gt;&gt; Okay,<00:02:01.680><c> that's</c><00:02:01.920><c> cool.</c><00:02:02.159><c> Nobody</c><00:02:02.479><c> reads</c><00:02:02.719><c> the</c> &gt;&gt; Okay, that's cool.","['gtgt', 'okay', 'thats', 'cool', 'nobody', 'read', 'gtgt', 'okay', 'thats', 'cool']"
"Nobody reads the &gt;&gt; Okay, that's cool.","['nobody', 'read', 'gtgt', 'okay', 'thats', 'cool']"
Nobody reads the agenda.<00:02:03.360><c> Totally</c><00:02:03.680><c> fine.</c><00:02:04.079><c> Totally</c><00:02:04.479><c> fine.</c><00:02:05.280><c> Give</c> agenda.,"['nobody', 'read', 'agenda', 'totally', 'fine', 'totally', 'fine', 'give', 'agenda']"
Totally fine.,"['totally', 'fine']"
Totally fine.,"['totally', 'fine']"
Give agenda.,"['give', 'agenda']"
Totally fine.,"['totally', 'fine']"
Totally fine.,"['totally', 'fine']"
Give me<00:02:05.600><c> another</c><00:02:05.840><c> clap.</c><00:02:06.079><c> Give</c><00:02:06.240><c> me</c><00:02:06.320><c> another</c><00:02:06.560><c> clap.</c><00:02:07.920><c> I</c> me another clap.,"['give', 'another', 'clap', 'give', 'another', 'clap', 'another', 'clap']"
Give me another clap.,"['give', 'another', 'clap']"
I me another clap.,"['another', 'clap']"
Give me another clap.,"['give', 'another', 'clap']"
"I like<00:02:08.319><c> that.</c><00:02:08.640><c> Right</c><00:02:08.879><c> here,</c><00:02:09.280><c> you</c><00:02:09.520><c> not</c><00:02:09.679><c> only</c><00:02:09.840><c> clap</c> like that.","['like', 'right', 'clap', 'like']"
"Right here, you not only clap like that.","['right', 'clap', 'like']"
"Right here, you not only clap but<00:02:10.239><c> threw</c><00:02:10.399><c> in</c><00:02:10.479><c> a</c><00:02:10.640><c> little</c><00:02:10.720><c> belly</c><00:02:11.039><c> dance,</c><00:02:11.280><c> I</c> but threw in a little belly dance, I but threw in a little belly dance, I reward<00:02:11.840><c> extra</c><00:02:12.160><c> credits.</c> reward extra credits.","['right', 'clap', 'threw', 'little', 'belly', 'dance', 'threw', 'little', 'belly', 'dance', 'threw', 'little', 'belly', 'dance', 'reward', 'extra', 'credit', 'reward', 'extra', 'credit']"
reward extra credits.,"['reward', 'extra', 'credit']"
"She's<00:02:14.080><c> hiding</c><00:02:14.319><c> her</c><00:02:14.480><c> name</c><00:02:14.640><c> tag.</c><00:02:14.879><c> She's</c><00:02:15.040><c> like,</c> She's hiding her name tag.","['shes', 'hiding', 'name', 'tag', 'shes', 'like', 'shes', 'hiding', 'name', 'tag']"
"She's like, She's hiding her name tag.","['shes', 'like', 'shes', 'hiding', 'name', 'tag']"
"She's like, I'm<00:02:15.280><c> giving</c><00:02:15.440><c> the</c><00:02:15.599><c> mentalist</c><00:02:16.000><c> nothing.</c><00:02:16.400><c> Tell</c> I'm giving the mentalist nothing.","['shes', 'like', 'giving', 'mentalist', 'nothing', 'tell', 'giving', 'mentalist', 'nothing']"
Tell I'm giving the mentalist nothing.,"['tell', 'giving', 'mentalist', 'nothing']"
Tell us<00:02:16.959><c> what</c><00:02:17.120><c> is</c><00:02:17.280><c> your</c><00:02:17.520><c> name?</c> us what is your name?,"['tell', 'name', 'name']"
us what is your name?,['name']
"&gt;&gt; Oh,<00:02:18.319><c> hi.</c><00:02:18.640><c> I'm</c><00:02:18.879><c> Nera.</c> &gt;&gt; Oh, hi.","['gtgt', 'nera', 'gtgt']"
I'm Nera.,['nera']
"&gt;&gt; Oh, hi.",['gtgt']
I'm Nera.,['nera']
"&gt;&gt; Nera,<00:02:20.319><c> stand</c><00:02:20.480><c> up,</c><00:02:20.720><c> please.</c><00:02:20.879><c> Did</c><00:02:21.040><c> I</c><00:02:21.120><c> say</c><00:02:21.280><c> that</c> &gt;&gt; Nera, stand up, please.","['gtgt', 'nera', 'stand', 'please', 'say', 'gtgt', 'nera', 'stand', 'please']"
"Did I say that &gt;&gt; Nera, stand up, please.","['say', 'gtgt', 'nera', 'stand', 'please']"
"Did I say that correctly,<00:02:21.680><c> Nira?</c> correctly, Nira?","['say', 'correctly', 'nira', 'correctly', 'nira']"
"correctly, Nira?","['correctly', 'nira']"
&gt;&gt; Yeah.,"['gtgt', 'yeah']"
&gt;&gt; Yeah.,"['gtgt', 'yeah']"
&gt;&gt; Yeah.,"['gtgt', 'yeah']"
&gt;&gt; Wonderful.<00:02:23.280><c> Wonderful.</c><00:02:23.599><c> Give</c><00:02:23.680><c> me</c><00:02:23.840><c> another</c> &gt;&gt; Wonderful.,"['gtgt', 'wonderful', 'wonderful', 'give', 'another', 'gtgt', 'wonderful']"
Wonderful.,['wonderful']
Give me another &gt;&gt; Wonderful.,"['give', 'another', 'gtgt', 'wonderful']"
Wonderful.,['wonderful']
Give me another clap.<00:02:24.319><c> Give</c><00:02:24.400><c> me</c><00:02:24.560><c> another</c><00:02:24.800><c> clap.</c><00:02:26.239><c> One</c><00:02:26.480><c> more</c> clap.,"['give', 'another', 'clap', 'give', 'another', 'clap', 'one', 'clap']"
Give me another clap.,"['give', 'another', 'clap']"
One more clap.,"['one', 'clap']"
Give me another clap.,"['give', 'another', 'clap']"
One more clap.,"['one', 'clap']"
clap.,['clap']
clap.,['clap']
This<00:02:28.879><c> man</c><00:02:29.040><c> and</c><00:02:29.280><c> I</c><00:02:29.440><c> just</c><00:02:29.680><c> locked</c><00:02:30.000><c> eyes.</c><00:02:31.440><c> When</c><00:02:31.680><c> we</c> This man and I just locked eyes.,"['man', 'locked', 'eye', 'man', 'locked', 'eye']"
When we This man and I just locked eyes.,"['man', 'locked', 'eye']"
"When we made<00:02:32.239><c> eye</c><00:02:32.560><c> contact,</c><00:02:33.599><c> he</c><00:02:34.560><c> closed</c><00:02:34.959><c> his</c><00:02:35.200><c> eyes</c> made eye contact, he closed his eyes made eye contact, he closed his eyes tightly tightly tightly as<00:02:38.239><c> if</c><00:02:38.480><c> activating</c><00:02:39.120><c> a</c><00:02:39.360><c> camouflage</c><00:02:40.000><c> shield</c> as if activating a camouflage shield as if activating a camouflage shield where<00:02:40.560><c> if</c><00:02:40.959><c> he</c><00:02:41.280><c> doesn't</c><00:02:41.519><c> see</c><00:02:41.680><c> me,</c><00:02:42.000><c> would</c><00:02:42.239><c> I</c> where if he doesn't see me, would I where if he doesn't see me, would I still<00:02:42.720><c> see</c><00:02:42.879><c> him?</c><00:02:43.680><c> I</c><00:02:44.000><c> still</c><00:02:44.160><c> see</c><00:02:44.319><c> you.</c><00:02:44.640><c> Jeff</c> still see him?","['made', 'eye', 'contact', 'closed', 'eye', 'made', 'eye', 'contact', 'closed', 'eye', 'made', 'eye', 'contact', 'closed', 'eye', 'tightly', 'tightly', 'tightly', 'activating', 'camouflage', 'shield', 'activating', 'camouflage', 'shield', 'activating', 'camouflage', 'shield', 'doesnt', 'see', 'would', 'doesnt', 'see', 'would', 'doesnt', 'see', 'would', 'still', 'see', 'still', 'see', 'jeff', 'still', 'see']"
I still see you.,"['still', 'see']"
Jeff still see him?,"['jeff', 'still', 'see']"
I still see you.,"['still', 'see']"
"Jeff Johnson,<00:02:45.360><c> stand</c><00:02:45.599><c> up.</c><00:02:45.920><c> Please</c><00:02:46.319><c> give</c><00:02:46.640><c> all</c><00:02:46.879><c> three</c> Johnson, stand up.","['jeff', 'johnson', 'stand', 'please', 'give', 'three', 'johnson', 'stand']"
"Please give all three Johnson, stand up.","['please', 'give', 'three', 'johnson', 'stand']"
Please give all three helpers<00:02:47.519><c> a</c><00:02:47.760><c> round</c><00:02:47.840><c> of</c><00:02:48.000><c> applause.</c> Notice<00:02:52.400><c> the</c><00:02:52.720><c> question</c><00:02:53.120><c> and</c><00:02:53.360><c> the</c><00:02:53.519><c> way</c><00:02:53.599><c> it</c><00:02:53.760><c> was</c> Notice the question and the way it was Notice the question and the way it was phrased.,"['please', 'give', 'three', 'helper', 'round', 'applause', 'notice', 'question', 'way', 'notice', 'question', 'way', 'notice', 'question', 'way', 'phrased']"
phrased.,['phrased']
phrased.,['phrased']
Dead<00:02:56.000><c> or</c><00:02:56.480><c> alive?</c><00:02:57.120><c> 50/50.</c><00:02:57.920><c> Like</c><00:02:58.160><c> flipping</c><00:02:58.400><c> a</c> Dead or alive?,"['dead', 'alive', 'like', 'flipping', 'dead', 'alive']"
50/50.,[]
Like flipping a Dead or alive?,"['like', 'flipping', 'dead', 'alive']"
50/50.,[]
"Like flipping a coin.<00:02:59.200><c> All</c><00:02:59.440><c> three</c><00:02:59.599><c> of</c><00:02:59.760><c> you,</c><00:03:00.239><c> please.</c><00:03:00.640><c> I</c><00:03:00.879><c> don't</c> coin.","['like', 'flipping', 'coin', 'three', 'please', 'dont', 'coin']"
"All three of you, please.","['three', 'please']"
I don't coin.,"['dont', 'coin']"
"All three of you, please.","['three', 'please']"
I don't read<00:03:01.200><c> minds.</c><00:03:01.599><c> I'm</c><00:03:01.760><c> telling</c><00:03:01.840><c> you</c><00:03:02.000><c> the</c><00:03:02.159><c> truth.</c><00:03:02.400><c> I</c> read minds.,"['dont', 'read', 'mind', 'telling', 'truth', 'read', 'mind']"
I'm telling you the truth.,"['telling', 'truth']"
I read minds.,"['read', 'mind']"
I'm telling you the truth.,"['telling', 'truth']"
I read<00:03:03.040><c> people.</c><00:03:04.319><c> Try</c><00:03:04.560><c> not</c><00:03:04.720><c> to</c><00:03:04.879><c> react.</c><00:03:05.280><c> If</c><00:03:05.599><c> the</c> read people.,"['read', 'people', 'try', 'react', 'read', 'people']"
Try not to react.,"['try', 'react']"
If the read people.,"['read', 'people']"
Try not to react.,"['try', 'react']"
"If the person<00:03:06.000><c> you</c><00:03:06.239><c> thought</c><00:03:06.319><c> of</c><00:03:06.560><c> is</c><00:03:06.720><c> alive,</c><00:03:07.519><c> then</c> person you thought of is alive, then person you thought of is alive, then their<00:03:07.920><c> heart</c><00:03:08.080><c> is</c><00:03:08.239><c> beating</c><00:03:08.480><c> in</c><00:03:08.640><c> their</c><00:03:08.720><c> chest.</c> their heart is beating in their chest.","['person', 'thought', 'alive', 'person', 'thought', 'alive', 'person', 'thought', 'alive', 'heart', 'beating', 'chest', 'heart', 'beating', 'chest']"
their heart is beating in their chest.,"['heart', 'beating', 'chest']"
The<00:03:09.200><c> room</c><00:03:09.280><c> is</c><00:03:09.440><c> getting</c><00:03:09.680><c> warm</c><00:03:09.920><c> like</c><00:03:10.080><c> the</c><00:03:10.239><c> blood</c> The room is getting warm like the blood The room is getting warm like the blood flowing<00:03:10.720><c> through</c><00:03:10.879><c> their</c><00:03:11.040><c> veins.</c><00:03:11.440><c> They're</c> flowing through their veins.,"['room', 'getting', 'warm', 'like', 'blood', 'room', 'getting', 'warm', 'like', 'blood', 'room', 'getting', 'warm', 'like', 'blood', 'flowing', 'vein', 'theyre', 'flowing', 'vein']"
They're flowing through their veins.,"['theyre', 'flowing', 'vein']"
